crop_type,region,season,soil_type,irrigation_method,temperature_C,humidity_percent,rainfall_mm,leaf_wetness_hrs,soil_pH,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,days_since_last_rain,plant_age_days,pesticide_applied,fertilizer_kg_ha,disease_label,HTI,drought_stress,maturity_stage,maturity_stage_encoded
Maize,North,Kharif,Clay,Flood,26.20907713983678,66.26863957713074,101.5822714543312,14.009116974543453,7.085974331317565,39.89318614564547,58.93674585907966,44.89403526732892,29.291666666666668,22.0,0.0,53.71978502288691,Fungal,17.3683988662906,0,Seedling,0
Cotton,Central,Rabi,Loamy,Sprinkler,33.43068707934651,58.979547903308216,30.2964131023272,11.067606229118468,6.190606541947888,179.82457111954653,88.88189314383732,71.39467286494722,8.0,13.0,0.0,92.81990593745242,Pest Damage,19.717268100368248,0,Seedling,0
Cotton,North,Kharif,Clay,Drip,28.047988727988237,62.103652669765694,90.56427996429431,21.470656719557287,6.2241841738483075,89.69059425429731,17.839236932912925,55.87717575438508,5.0,31.0,0.0,68.28272904967233,Bacterial,17.418825500484846,0,Vegetative,1
Soybean,North,Rabi,Loamy,Drip,31.411228996927953,54.430551454299675,16.92267749388163,19.30936707809304,6.925993229884137,143.06034521023616,62.503022314542456,91.41014765349536,49.0,116.0,0.0,62.74372219052427,Bacterial,17.09730516160077,0,Reproductive,2
Cotton,North,Kharif,Sandy,Flood,22.82299719135094,56.975618729629254,27.92732539252573,12.402933776027265,6.492166994961363,134.99857416632273,80.44839195960184,57.81544475676404,29.0,84.0,0.0,84.10023178378503,Healthy,13.003543862418105,0,Reproductive,2
Rice,North,Rabi,Sandy,Drip,24.888346424008677,66.26863957713074,8.542214233136935,6.491779247377178,7.739443139656914,141.35018456608898,27.49176755790272,97.51964684587077,29.291666666666668,46.0,1.0,50.44046342645285,Healthy,16.493168588434017,1,Vegetative,1
Wheat,South,Kharif,Loamy,Drip,22.967913313834693,71.24223395336924,25.45044354497627,3.5347056949552,7.300041551260537,95.46595345553511,71.88941851346831,81.38918588269628,41.0,23.0,1.0,43.29796055699387,Healthy,16.362854537249152,0,Seedling,0
Wheat,East,Kharif,Clay,Drip,36.706309086018344,62.994201979244,1.6440856836266138,13.264937005310989,6.946763836010135,109.8309407440637,66.50795758238247,62.003945874667906,29.291666666666668,115.0,1.0,28.17708881488258,Pest Damage,23.122846484771983,1,Reproductive,2
Rice,North,Zaid,Loamy,Drip,32.95057062519984,52.22351001213718,60.89448121055831,7.104720475630794,4.8949585934198705,131.95112060776685,17.402524538351926,47.93343169347564,12.0,19.0,1.0,39.36546212723754,Bacterial,17.20794454950757,0,Seedling,0
Cotton,North,Kharif,Loamy,Drip,27.157029493483343,58.82984445962427,62.54734837768717,6.341178867672954,7.383310679517881,120.11850970341456,81.9374784956563,94.299452232091,0.0,33.0,1.0,40.83840466891002,Bacterial,15.97643821087054,0,Vegetative,1
Maize,East,Kharif,Silty,Flood,22.960099915203923,72.93372489676244,48.42043571064799,2.538869624657261,6.668083495439895,92.71983150684972,42.16384359415215,117.670790059101,47.0,40.0,1.0,77.25851471689587,Healthy,16.745656108176615,0,Vegetative,1
Wheat,East,Kharif,Sandy,Flood,40.48868778896371,66.09418512169421,90.66548749094804,0.8273452773997363,6.032298360781994,137.20089658484733,91.56936059939136,70.80539360880032,41.0,64.26082474226804,1.0,1.2902712928022808,Pest Damage,26.76066826058247,0,Vegetative,1
Cotton,South,Kharif,Loamy,Drip,33.27398789587076,70.59165644120574,31.89386903023824,18.80049174166128,6.416206485794654,188.511655220074,71.48149306306942,91.07846887211213,12.0,66.0,0.0,41.33575466590269,Pest Damage,23.48865921974147,0,Vegetative,1
Rice,East,Rabi,Sandy,Flood,23.714734809999893,69.31012083856982,26.104745147655496,2.5916416012857253,3.934738461368768,107.34735726481784,65.9952925176047,47.95157833679026,34.0,92.0,1.0,28.899238630714525,Healthy,16.436711353357303,0,Reproductive,2
Cotton,North,Rabi,Clay,Rainfed,25.78421350764163,55.016272332991115,30.130816949514625,21.326627199921848,7.998620427981214,134.6444420271853,80.25434377759125,28.567954939259593,52.0,111.0,1.0,33.19504415178836,Healthy,14.185513122284,0,Reproductive,2
Maize,West,Zaid,Sandy,Drip,23.75645134759705,61.64936896813733,8.033452282951977,5.130787382263973,6.858732345481327,126.83571585811973,77.88627552223814,50.33649952151883,32.0,68.0,1.0,53.27656977880517,Healthy,14.645702345016138,1,Vegetative,1
Cotton,East,Zaid,Loamy,Flood,31.350501326589864,81.21113800638281,28.7214759400718,12.025019153066173,8.29088181890811,108.87603513440568,20.818426218082983,92.90953989738708,53.0,11.0,1.0,27.3473140597364,Fungal,25.46009889802977,0,Seedling,0
Rice,South,Kharif,Loamy,Flood,28.559248509232138,72.61029292495847,31.214228431475497,19.751987525046665,9.033847693431156,144.1885204668537,25.900759446079995,30.623082664876726,45.0,34.0,1.0,32.660700377802385,Fungal,20.73695399972029,0,Vegetative,1
Maize,North,Rabi,Loamy,Flood,25.805104783274416,84.8923762306458,57.857039281045616,19.0213421303788,3.830800630171017,143.77861358193266,57.13147139770227,98.11638167984304,30.0,31.0,1.0,34.28428052012518,Fungal,21.90656663932969,0,Vegetative,1
Rice,South,Rabi,Loamy,Drip,20.785704334998997,60.71139795616781,17.103487656621482,20.94853968160296,5.808568842909616,103.5055811923593,38.51469878920226,47.02442056345334,17.0,10.0,0.0,60.38258882330826,Healthy,12.619291676813663,0,Seedling,0
Wheat,West,Kharif,Sandy,Drip,33.027133029298895,58.6839127099945,3.8704410594187473,8.153300568820843,6.242732284924844,162.98986683524143,93.1929102465744,68.37073746566189,14.0,17.0,1.0,8.810251489861933,Bacterial,19.381613917527527,0,Seedling,0
Wheat,West,Rabi,Clay,Flood,19.96109350688011,48.33291882642417,36.3986812779159,23.661323430778612,6.566539991287456,120.32033788194532,40.18464336739564,116.53706490753832,57.0,50.0,1.0,48.552579586452865,Healthy,9.64777912154699,0,Vegetative,1
Wheat,East,Zaid,Loamy,Flood,27.23894956767738,52.24674776105813,62.03889063885741,6.71027281464335,5.557417686377481,152.26675645144968,61.841252472841354,70.31566304821598,37.0,112.0,1.0,51.032205001239646,Healthy,14.231465273386236,0,Reproductive,2
Rice,North,Zaid,Loamy,Rainfed,29.08934688323357,73.23570501485433,139.67953472786817,22.42315415755037,7.635235594438416,130.33005884036845,71.66129315569961,50.31104023113366,14.0,75.0,1.0,72.37717564220321,Fungal,21.303788274152662,0,Reproductive,2
Maize,South,Kharif,Loamy,Drip,28.933329973429583,83.28518090872373,3.7836184668449855,10.49856227654574,7.8828638127668285,121.18746530188184,108.88401616718298,52.372814047464885,29.291666666666668,109.0,1.0,58.85963203144093,Fungal,24.097176211288815,1,Reproductive,2
Soybean,West,Kharif,Loamy,Flood,33.186290706777235,65.19116284194175,54.872177185595,1.3663678369703298,4.9580433182817965,119.75079031050616,82.98644692151974,115.9552003245808,7.0,18.0,1.0,65.04251504614967,Bacterial,21.63452881585533,0,Seedling,0
Rice,East,Zaid,Loamy,Flood,22.360388785869723,43.769395331105095,36.237783854318,18.83799526332089,7.264683393114771,140.28630496580112,46.77651876202376,99.82541793614806,42.0,62.0,0.0,61.928518929272435,Healthy,9.78700696525941,0,Vegetative,1
Rice,West,Kharif,Clay,Rainfed,31.87193338276764,80.32727412407696,0.6182405202072248,18.897859990876135,5.283344257087399,87.00201554823227,70.49475457200316,90.92110324826588,30.0,37.0,1.0,30.779698783568847,Fungal,25.60185529701896,1,Vegetative,1
Cotton,South,Kharif,Silty,Flood,30.435901332537693,63.45572450255325,50.66821319606253,4.735149467345561,6.8496215752015255,131.13979100023397,73.96657210516827,93.27305459749516,13.0,16.0,1.0,23.2224517629242,Bacterial,19.313321699444053,0,Seedling,0
Cotton,East,Kharif,Loamy,Drip,29.307031311399392,73.66664422584938,1.062024913651883,19.764298755183606,5.629158566005527,159.30651138404508,72.43917070415196,97.88726158134892,20.0,72.0,1.0,57.65852446080959,Healthy,21.58950648932687,0,Reproductive,2
Cotton,Central,Zaid,Clay,Drip,29.363904693361317,54.03362405112132,61.53237607032529,3.781905670851137,7.482807150899829,135.31741043364997,40.38977318312562,83.94782099029445,6.0,87.0,1.0,49.711978465228306,Bacterial,15.866381868740422,0,Reproductive,2
Rice,West,Rabi,Loamy,Flood,23.45309789775902,66.84099762374765,51.10795901729314,3.634359815223701,7.569975242643064,67.59903097620642,100.63598760690093,50.03775151867792,29.291666666666668,119.0,1.0,56.0059524690778,Healthy,15.676284608536315,0,Reproductive,2
Maize,North,Kharif,Loamy,Flood,29.105870268095533,71.1399999924478,46.579840062664246,19.41406291041507,6.5951072009986955,120.11953230797243,35.5173920734763,58.39977749763143,35.0,91.0,1.0,73.96026989624175,Healthy,20.705916106525027,0,Reproductive,2
Rice,North,Zaid,Clay,Drip,34.007568441433186,52.37822125606535,5.113160731906621,6.965258983380993,8.044902145712804,120.63030543049658,60.274004383228096,61.0095393997726,46.0,113.0,0.0,50.40192274246315,Pest Damage,17.81255944206173,1,Reproductive,2
Rice,South,Kharif,Sandy,Rainfed,37.641459380672394,59.65107078615869,100.54852345663578,1.845068043878114,6.124064547668551,96.39160768438474,42.35556920241912,36.632442174225815,38.0,114.0,0.0,36.59392557698373,Pest Damage,22.45353358010806,0,Reproductive,2
Wheat,East,Kharif,Silty,Flood,35.99917530520114,55.32793739508654,91.67098460809596,22.95225566216992,7.014654906323607,146.69023801939767,67.81514215648454,55.92171327105797,25.0,41.0,0.0,54.24485186476508,Pest Damage,19.917601175609143,0,Vegetative,1
Cotton,West,Zaid,Clay,Flood,29.704309615385935,66.26863957713074,92.2079362165384,13.36896374230093,6.972187128083391,105.77284103319764,56.08168809467075,55.30323883994451,35.0,10.0,1.0,44.53132243349954,Fungal,19.684641877895096,0,Seedling,0
Maize,North,Kharif,Silty,Flood,27.487670756911335,50.60936309112633,17.874139845783997,10.75385974637576,6.379333943286168,136.5395028673989,33.94977714636475,124.69603455325066,14.0,32.0,1.0,88.6417548249502,Healthy,13.911335098658613,0,Vegetative,1
