crop_type,region,season,soil_type,irrigation_method,temperature_C,humidity_percent,rainfall_mm,leaf_wetness_hrs,soil_pH,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,days_since_last_rain,plant_age_days,pesticide_applied,fertilizer_kg_ha,disease_label
maize,,Kharif,Clay,FLOOD,26.20907713983678,,101.58227145433119,14.009116974543453,7.085974331317565,39.89318614564547,58.93674585907966,44.89403526732892,,22.0,0.0,53.71978502288691,Fungal
Cotton,Central,Rabi,,Sprinkler,33.43068707934651,58.979547903308216,30.2964131023272,11.067606229118468,6.190606541947888,179.82457111954653,88.88189314383732,71.39467286494722,8.0,13.0,0.0,92.81990593745242,Pest Damage
cotton,,,CLAY,Drip,28.047988727988237,62.103652669765694,90.56427996429431,21.470656719557287,6.2241841738483075,89.69059425429731,17.839236932912925,55.87717575438508,5.0,31.0,0.0,68.28272904967233,Bacterial
Soybean,North,Rabi,,,31.411228996927953,54.430551454299675,16.92267749388163,19.30936707809304,6.925993229884137,143.06034521023616,62.503022314542456,91.41014765349536,49.0,116.0,0.0,62.74372219052427,Bacterial
cotton,,kharif,sandy,FLOOD,22.82299719135094,56.975618729629254,,12.402933776027265,,134.99857416632273,80.44839195960184,57.81544475676404,29.0,84.0,0.0,84.10023178378503,Healthy
Rice,,RABI,Sandy,,24.888346424008677,,8.542214233136935,6.491779247377178,7.739443139656914,141.35018456608898,27.49176755790272,97.51964684587077,,46.0,1.0,,Healthy
Wheat,SOUTH,,Loamy,drip,22.967913313834693,71.24223395336924,25.45044354497627,3.5347056949552,7.300041551260537,95.46595345553513,71.88941851346831,81.38918588269628,41.0,23.0,1.0,43.29796055699387,Healthy
WHEAT,East,Kharif,CLAY,drip,36.706309086018344,62.994201979244,1.6440856836266138,13.264937005310987,6.946763836010135,109.8309407440637,66.50795758238247,62.003945874667906,,115.0,1.0,28.17708881488258,Pest Damage
Rice,,Zaid,,,32.95057062519984,52.22351001213718,60.89448121055831,7.104720475630794,4.8949585934198705,131.95112060776685,17.402524538351926,47.93343169347564,12.0,19.0,1.0,39.36546212723754,Bacterial
cotton,north,Kharif,loamy,,27.157029493483343,58.829844459624276,62.54734837768717,6.341178867672954,7.383310679517881,120.11850970341457,81.9374784956563,94.29945223209099,0.0,33.0,1.0,40.83840466891002,Bacterial
Maize,East,,Silty,FLOOD,22.960099915203923,72.93372489676244,48.42043571064799,2.538869624657261,6.668083495439895,92.71983150684972,42.16384359415215,117.670790059101,47.0,40.0,1.0,77.25851471689587,Healthy
